id,DateTime,DateTimeUTC,driver,device,status,origin,state,malfunction,version,sequence,eventRecordStatus,eventCode,eventType,deferralStatus,deferralMinutes,isIgnored,eventCheckSum,isTransitioning
a_74SL1mdvUWiWx17p6uDug,2024-05-22 5:31,2024-05-22 09:31:52.347000+00:00,b18F,NoDeviceId,OFF,Manual,Active,None,0000000000731a4d,000000000001fc1e,1,1,1,None,0,FALSE,0000000000000090,FALSE
a40xz-2-x5kaRZkMYMTsZhA,2024-05-21 12:25,2024-05-21 16:25:23.547000+00:00,b191,NoDeviceId,OFF,Manual,Active,None,000000000072a685,000000000001fb5b,1,1,1,None,0,FALSE,0000000000000061,FALSE
aAZjz86tnGUGJeqZAtRl5_A,2024-05-21 12:25,2024-05-21 16:25:34.770000+00:00,b191,NoDeviceId,OFF,Manual,Active,None,000000000072a687,000000000001fb5d,1,1,1,None,0,FALSE,0000000000000071,FALSE
aNDaGhoUT8UCeJBCBdRzgDg,2024-05-22 15:02,2024-05-22 19:02:11.518000+00:00,b191,NoDeviceId,OFF,Manual,Active,None,000000000072f7bc,000000000001fcaf,1,1,1,None,0,FALSE,0000000000000041,FALSE
aNNj8e5L9SUupH3poNfHmWA,2024-05-21 9:03,2024-05-21 13:03:04.650000+00:00,b194,b8D,OFF,Manual,Active,None,000000000072a17f,00000000000061fb,1,1,1,None,0,FALSE,000000000000008e,FALSE
aUtbDF2lPk0elTf6NWV-1_g,2024-05-22 9:10,2024-05-22 13:10:24.640000+00:00,b194,NoDeviceId,OFF,Manual,Active,None,000000000072eb06,000000000001fc5e,1,1,1,None,0,FALSE,0000000000000041,FALSE
ax1rPULEf5keCIqaIJJS9CQ,2024-05-23 6:20,2024-05-23 10:20:28.553000+00:00,b194,NoDeviceId,OFF,Manual,Active,None,0000000000732ed6,000000000001fd7b,1,1,1,None,0,FALSE,0000000000000059,FALSE
adNSnSGVvu0e_lRQgUh6kaQ,2024-05-22 10:49,2024-05-22 14:49:00.829000+00:00,b195,NoDeviceId,OFF,Manual,Active,None,000000000072f15a,000000000001fc7c,1,1,1,None,0,FALSE,0000000000000001,FALSE
ayqHU5AuxAkmTBZAR1BD3zw,2024-05-23 6:28,2024-05-23 10:28:46.243000+00:00,b195,NoDeviceId,OFF,Manual,Active,None,0000000000732f63,000000000001fd80,1,1,1,None,0,FALSE,0000000000000021,FALSE
agkXclHo5C0id_lO2FuZ0ew,2024-05-21 10:01,2024-05-21 14:01:03.313000+00:00,b196,b488,OFF,Manual,Active,None,000000000072a2ed,0000000000000b8a,1,1,1,None,0,FALSE,00000000000000ce,FALSE
aKhG7DkbtGUGISIfu6ZzWHA,2024-05-22 7:17,2024-05-22 11:17:18.660000+00:00,b196,b488,OFF,Manual,Active,None,000000000072e5f7,0000000000000bb2,1,1,1,None,0,FALSE,00000000000000a6,FALSE
avdLSvEud9UKpVbMdVpna3w,2024-05-23 5:09,2024-05-23 09:09:17.290000+00:00,b196,b488,OFF,Manual,Active,None,0000000000732cbc,0000000000000c1e,1,1,1,None,0,FALSE,0000000000000066,FALSE
aNGWDROo44EWI7lQrvPuZwQ,2024-05-21 13:03,2024-05-21 17:03:45.914000+00:00,b198,NoDeviceId,OFF,Manual,Active,None,000000000072a74b,000000000001fb61,1,1,1,None,0,FALSE,0000000000000021,FALSE
asQfXwxaFHkaeBlp-7koQkg,2024-05-22 7:08,2024-05-22 11:08:24.617000+00:00,b198,NoDeviceId,OFF,Manual,Active,None,000000000072e234,000000000001fc3c,1,1,1,None,0,FALSE,0000000000000009,FALSE
acFJQjoTewEOXiXIy6JPQdg,2024-05-23 7:25,2024-05-23 11:25:02.377000+00:00,b198,NoDeviceId,OFF,Manual,Active,None,0000000000733685,000000000001fd92,1,1,1,None,0,FALSE,0000000000000069,FALSE
aDyTtL4GHoEqD4Jx1DqhPuA,2024-05-21 12:45,2024-05-21 16:45:58.713000+00:00,b19F,b51,OFF,Manual,Active,None,000000000072a7e8,0000000000003a20,1,1,1,None,0,FALSE,000000000000007e,FALSE
aG8ANxe0yZ0Wrhfr26n1Ysg,2024-05-22 16:37,2024-05-22 20:37:06.653000+00:00,b19F,b51,OFF,Manual,Active,None,000000000072f9f6,0000000000003a3a,1,1,1,None,0,FALSE,00000000000000ae,FALSE
ah5WTa28FrkS9GwTuCRB1ug,2024-05-21 8:22,2024-05-21 12:22:00+00:00,b1A4,b351,OFF,Manual,Active,None,000000000072a915,0000000000003f36,1,1,1,None,0,FALSE,0000000000000017,FALSE
